service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2,1,1,1,1,1,0,0,20260313,20260524
3,0,0,0,0,0,1,0,20260313,20260524
4,0,0,0,0,0,0,1,20260313,20260524
20,0,0,0,0,0,0,1,20260313,20260524
21,1,1,1,1,1,0,0,20260313,20260524
402,1,1,1,1,0,0,0,20260313,20260524
502,0,0,0,0,1,0,0,20260313,20260524
902,0,0,0,0,1,0,0,20260313,20260524
1002,1,1,1,1,0,0,0,20260313,20260524
1521,1,1,1,1,0,0,0,20260313,20260524
1621,0,0,0,0,1,0,0,20260313,20260524
