stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
33158,33158,DICKERSON @ MCCALLUM - N - FS,DICKERSON @ MCCALLUM -Northbound -Far Side (after the intersection),32.988163,-96.773534,,,0
33160,33160,COMMUNICATION @ LEGACY - N - FS,COMMUNICATION @ LEGACY -Northbound -Far Side (after the intersection),33.07829,-96.828235,,,0
33161,33161,SYNERGY PARK @ STEWART -  E - MB,SYNERGY PARK @ STEWART -Eastbound -Mid Block (not near the intersection),32.99301,-96.753088,,,0
33162,33162,5TH @ AUSTIN - N - FS,5TH @ AUSTIN -Northbound -Far Side (after the intersection),32.914573,-96.63649,,,0
33166,33166,COMMUNICATIONS @ WATER - N - NS,COMMUNICATIONS @ WATER -Northbound -Near Side (before the intersection),33.081955,-96.827181,,,0
33170,33170,COMMUNICATIONS @ WATER - S - FS,COMMUNICATIONS @ WATER -Southbound -Far Side (after the intersection),33.081668,-96.827666,,,0
33183,33183,TI MAIN CAMPUS NORTH BUILDING,TI MAIN CAMPUS NORTH BUILDING,32.932306,-96.750338,,,0
33197,33197,PLANO @ TEXAS - W - NS,PLANO @ TEXAS -Westbound -Near Side (before the intersection),33.007829,-96.719874,,,0
33221,33221,SOUTH GARLAND TC,SOUTH GARLAND TC,32.86807,-96.6631,,,1
33222,33222,ILLINOIS TC/STATION,ILLINOIS TC/STATION,32.723284,-96.805151,,,1
33223,33223,8TH & CORINTH STATION,8TH & CORINTH STATION,32.748244,-96.798447,,,1
33224,33224,ARAPAHO CENTER STATION,ARAPAHO CENTER STATION,32.962614,-96.722777,,,1
33227,33227,WESTMORELAND STATION,WESTMORELAND STATION,32.719759,-96.872207,,,1
33228,33228,REDBIRD TC,REDBIRD TC,32.680397,-96.856009,,,1
33229,33229,DOWNTOWN IRVING/HERITAGE CROSSING STATION,DOWNTOWN IRVING/HERITAGE CROSSING STATION,32.8148,-96.94779,,,1
33230,33230,DOWNTOWN GARLAND STATION,DOWNTOWN GARLAND STATION,32.917404,-96.635754,,,1
33232,33232,LANCASTER @ VA HOSPITAL - N - NS,LANCASTER @ VA HOSPITAL -Northbound -Near Side (before the intersection),32.694089,-96.792868,,,1
33233,33233,JACK HATCHELL TC,JACK HATCHELL TC,33.017062,-96.769248,,,1
33234,33234,LAKE RAY HUBBARD TRANSIT CENTER,LAKE RAY HUBBARD TRANSIT CENTER,32.843077,-96.601477,,,1
33241,33241,HAMPTON STATION,HAMPTON STATION,32.72644,-96.854996,,,1
33242,33242,CBD EAST TC,CBD EAST TC,32.784261,-96.793439,,,1
33243,33243,LEDBETTER STATION,LEDBETTER STATION,32.683397,-96.788567,,,1
33244,33244,SMU/MOCKINGBIRD STATION,SMU/MOCKINGBIRD STATION,32.837684,-96.774788,,,1
33245,33245,ADDISON TRANSIT CENTER,ADDISON TRANSIT CENTER,32.958802,-96.828236,,,1
33247,33247,WALNUT HILL STATION,WALNUT HILL STATION,32.883106,-96.764771,,,1
33248,33248,LBJ / CENTRAL STATION,LBJ / CENTRAL STATION,32.918287,-96.752005,,,1
33249,33249,GALATYN PARK STATION,GALATYN PARK STATION,32.985073,-96.710803,,,1
33252,33252,FOREST / JUPITER STATION,FOREST / JUPITER STATION,32.908313,-96.679207,,,1
33254,33254,PARRY @ EXPOSITION - S - NS,PARRY @ EXPOSITION -Southbound -Near Side (before the intersection),32.782389,-96.766261,,,1
33255,33255,CITYPLACE/UPTOWN EAST,CITYPLACE/UPTOWN EAST,32.80552,-96.792833,,,1
33257,33257,COCKRELL HILL TL,COCKRELL HILL TL,32.736934,-96.892334,,,1
33260,33260,CITYLINE/BUSH STATION,CITYLINE/BUSH STATION,33.003277,-96.702217,,,1
33261,33261,LANCASTER @ VA HOSPITAL - S - NS,LANCASTER @ VA HOSPITAL -Southbound -Near Side (before the intersection),32.694215,-96.793304,,,1
33262,33262,BERNAL/SINGLETON TL,BERNAL/SINGLETON TL,32.779147,-96.905254,,,1
33265,33265,TYLER VERNON STATION,TYLER VERNON STATION,32.733274,-96.838305,,,1
33267,33267,ZOO STATION,ZOO STATION,32.741005,-96.812844,,,1
33270,33270,WHITE ROCK STATION,WHITE ROCK STATION,32.855573,-96.73293,,,1
33273,33273,LANCASTER @ KIEST STA - S - FS,LANCASTER @ KIEST STA -Southbound -Far Side (after the intersection),32.707073,-96.8013,,,1
33274,33274,LANCASTER @ KIEST STA - N - NS,LANCASTER @ KIEST STA -Northbound -Near Side (before the intersection),32.707489,-96.801094,,,1
33275,33275,DOWNTOWN PLANO STATION,DOWNTOWN PLANO STATION,33.021663,-96.700607,,,1
